Country,year,broad_money,decade,annual change,world_money,gap_world,gap_world_pct
MEX,1982,31.29094902,1980,-1.3454940900000025,67.39981766,-36.10886864,-53.574134016433185
MEX,1983,28.40351693,1980,-2.887432090000001,70.78738012,-42.38386319,-59.874886057585606
MEX,1984,29.13411489,1980,0.7305979600000008,73.1733284,-44.03921351,-60.184789284506564
MEX,1985,25.49850291,1980,-3.63561198,74.66205194,-49.16354903,-65.84810858066005
MEX,1986,26.56778188,1980,1.0692789699999992,82.6959625,-56.128180619999995,-67.8729395283355
MEX,1987,25.97513147,1980,-0.5926504099999974,87.37848082,-61.40334934999999,-70.27285067646247
MEX,1988,11.12999972,1980,-14.84513175,91.01066932,-79.8806696,-87.77066490867557
MEX,1989,16.51663765,1980,5.386637929999999,92.20289031,-75.68625266000001,-82.08663785433562
MEX,1990,22.51341708,1990,5.99677943,86.94825158,-64.43483450000001,-74.1071077671002
MEX,1991,26.11474576,1990,3.6013286800000017,88.3276964,-62.21295063999999,-70.43425015666999
MEX,1992,27.13845607,1990,1.0237103099999985,86.93232118,-59.79386511,-68.78208737368492
MEX,1993,21.58680066,1990,-5.551655409999999,90.52539451,-68.93859384999999,-76.15387286976652
MEX,1994,22.91993355,1990,1.3331328899999981,90.31074809,-67.39081454000001,-74.62103455597673
MEX,1995,23.13939381,1990,0.21946026000000174,91.48657165,-68.34717784,-74.707333117122
MEX,1996,21.83881419,1990,-1.3005796200000006,88.696028,-66.85721380999999,-75.37791186094601
MEX,1997,27.14071542,1990,5.301901229999999,89.15721512,-62.016499700000004,-69.55858773351062
MEX,1998,25.94257689,1990,-1.1981385299999978,91.89188709,-65.9493102,-71.76837073267248
MEX,1999,25.99769685,1990,0.05511995999999897,98.57277603,-72.57507918,-73.6258854654882
MEX,2000,21.35725151,2000,-4.640445339999999,98.65619483,-77.29894332,-78.35183938849266
MEX,2001,23.94671874,2000,2.5894672300000003,95.42573014,-71.47901139999999,-74.90538589029651
MEX,2002,23.90551374,2000,-0.04120500000000149,96.23554479,-72.33003105,-75.15937194290808
MEX,2003,24.77253782,2000,0.8670240800000002,97.0956432,-72.32310538,-74.48645788465204
MEX,2004,25.01010318,2000,0.2375653600000014,95.91436236,-70.90425918,-73.92454835269781
MEX,2005,25.43708318,2000,0.4269799999999968,95.29212519,-69.85504200999999,-73.30620643701482
MEX,2006,24.40477832,2000,-1.03230486,96.10562116,-71.70084284,-74.60629458981379
MEX,2007,24.81360874,2000,0.408830420000001,96.41543203,-71.60182329,-74.26386189683912
MEX,2008,25.18026361,2000,0.3666548700000014,100.0025134,-74.82224979,-74.82036925483915
MEX,2009,28.47563996,2000,3.295376349999998,111.0087715,-82.53313154,-74.34829736855524
MEX,2010,29.30788464,2010,0.8322446800000023,107.9480905,-78.64020586000001,-72.85002031601476
MEX,2011,29.48742624,2010,0.1795416000000003,109.1949223,-79.70749606,-72.99560673802503
MEX,2012,29.98510736,2010,0.4976811199999993,111.5060523,-81.52094493999999,-73.10898669488634
MEX,2013,31.65407987,2010,1.6689725099999997,112.095354,-80.44127413,-71.7614702657525
MEX,2014,33.19596884,2010,1.5418889699999987,114.5310446,-81.33507576,-71.01574603118567
MEX,2015,35.12920262,2010,1.933233780000002,117.7380764,-82.60887378,-70.16326094826533
MEX,2016,36.55344349,2010,1.4242408699999984,121.6668651,-85.11342160999999,-69.95612284416457
MEX,2017,37.44990477,2010,0.896461280000004,119.9613444,-82.51143963,-68.78168967069361
MEX,2018,36.48982086,2010,-0.9600839100000016,120.2048697,-83.71504884000001,-69.6436417667029
MEX,2019,36.76748873,2010,0.2776678699999948,122.2835326,-85.51604387,-69.93259194574495
MEX,2020,43.50138124,2020,6.733892510000004,140.0833201,-96.58193886000001,-68.94606637753441
MEX,2021,42.99093586,2020,-0.5104453800000002,139.9156172,-96.92468134,-69.27366885817518
MEX,2022,41.70869538,2020,-1.2822404799999987,136.9038372,-95.19514182,-69.53431238083661
MEX,2023,42.90254144,2020,1.1938460599999985,135.5653641,-92.66282266000002,-68.35287410997336
MEX,2024,46.43987476,2020,3.537333320000002,136.1055622,-89.66568744,-65.87951733246652
MEX,2025,48.00314815,2020,1.563273389999999,136.1055622,-88.10241405000001,-64.73094311938414
URY,1976,26.91812267,1970,,61.83287432,-34.91475165,-56.46632480532566
URY,1977,30.97361333,1970,4.05549066,62.12656097,-31.15294764,-50.14432982222097
URY,1978,38.33838809,1970,7.364774760000003,65.39267936,-27.05429127,-41.372048881894905
URY,1979,37.37554753,1970,-0.9628405600000036,64.11446166,-26.738914130000005,-41.704965522126486
URY,1980,39.51424016,1980,2.1386926300000013,62.94883596,-23.434595799999997,-37.228005002175415
URY,1981,45.48544147,1980,5.971201309999998,64.65567791,-19.170236439999996,-29.649733882126732
URY,1982,63.88495455,1980,18.399513080000006,67.39981766,-3.514863109999993,-5.2149445384716095
URY,1983,52.50320705,1980,-11.381747500000003,70.78738012,-18.284173069999994,-25.829707271273982
URY,1984,58.41878892,1980,5.915581869999997,73.1733284,-14.754539480000005,-20.163821712939882
URY,1985,52.25060166,1980,-6.168187259999996,74.66205194,-22.411450279999997,-30.017190390119886
URY,1986,54.35695924,1980,2.106357580000001,82.6959625,-28.33900325999999,-34.26890794094088
URY,1987,45.60122826,1980,-8.755730980000003,87.37848082,-41.777252559999994,-47.81183212152806
URY,1988,46.83627141,1980,1.2350431500000028,91.01066932,-44.17439791,-48.537603601924594
URY,1989,53.54206938,1980,6.705797969999999,92.20289031,-38.66082093,-41.930161625103615
URY,1990,55.84337267,1990,2.30130329,86.94825158,-31.104878910000004,-35.774013099482275
URY,1991,48.84356626,1990,-6.999806409999998,88.3276964,-39.48413013999999,-44.701867873008396
URY,1992,42.66986949,1990,-6.173696769999999,86.93232118,-44.26245169,-50.915989690820766
URY,1993,38.37694036,1990,-4.2929291300000045,90.52539451,-52.14845415,-57.606436770887925
URY,1994,36.60305465,1990,-1.7738857100000018,90.31074809,-53.70769344000001,-59.46987991559666
URY,1995,36.04285582,1990,-0.5601988299999974,91.48657165,-55.44371583,-60.603118938712576
URY,1996,36.21040017,1990,0.16754435,88.696028,-52.48562783,-59.17472181505129
URY,1997,33.66339515,1990,-2.5470050200000003,89.15721512,-55.493819970000004,-62.24265741735967
URY,1998,36.29611467,1990,2.632719520000002,91.89188709,-55.595772419999996,-60.50128491272449
URY,1999,40.08127742,1990,3.785162749999998,98.57277603,-58.49149861,-59.33839034034963
URY,2000,43.24048613,2000,3.1592087100000015,98.65619483,-55.4157087,-56.17053120231314
URY,2001,49.15120645,2000,5.910720319999996,95.42573014,-46.27452369,-48.49271116093134
URY,2002,59.56629305,2000,10.415086600000002,96.23554479,-36.66925174000001,-38.1036464437518
URY,2003,58.40820382,2000,-1.1580892300000016,97.0956432,-38.68743938,-39.844670785393184
URY,2004,48.97946675,2000,-9.428737069999997,95.91436236,-46.93489561,-48.93416841352392
URY,2005,45.28475535,2000,-3.6947114000000028,95.29212519,-50.007369839999996,-52.47796682075445
URY,2006,45.20977722,2000,-0.07497812999999809,96.10562116,-50.89584394,-52.9582383690823
URY,2007,39.93378583,2000,-5.2759913900000015,96.41543203,-56.48164620000001,-58.58154136821743
URY,2008,43.98744959,2000,4.053663759999999,100.0025134,-56.01506381,-56.01365596277104
URY,2009,37.81978418,2000,-6.167665409999998,111.0087715,-73.18898732,-65.93081459333148
URY,2010,40.52392033,2010,2.7041361500000036,107.9480905,-67.42417017,-62.45980809637387
URY,2011,41.38090999,2010,0.8569896599999964,109.1949223,-67.81401231000001,-62.10363163562598
URY,2012,40.16449946,2010,-1.2164105299999974,111.5060523,-71.34155283999999,-63.97998258252391
URY,2013,41.97292944,2010,1.8084299799999997,112.095354,-70.12242456,-62.556048986651135
URY,2014,44.01859484,2010,2.045665399999997,114.5310446,-70.51244976000001,-61.56623298623089
URY,2015,49.42991068,2010,5.41131584,117.7380764,-68.30816572,-58.01705600143473
URY,2016,46.71193183,2010,-2.7179788500000015,121.6668651,-74.95493327,-61.60669399050703
URY,2017,44.27518777,2010,-2.436744059999995,119.9613444,-75.68615663,-63.09212105662263
URY,2018,45.97603886,2010,1.7008510900000005,120.2048697,-74.22883084,-61.75193319975788
URY,2019,48.78338585,2010,2.807346989999999,122.2835326,-73.50014675,-60.10633254309501
URY,2020,59.12690147,2020,10.343515619999998,140.0833201,-80.95641863,-57.79161899661457
URY,2021,58.75064182,2020,-0.3762596500000015,139.9156172,-81.16497538000002,-58.00994699825404
URY,2022,52.08044503,2020,-6.6701967899999985,136.9038372,-84.82339217,-61.9583745093158
URY,2023,50.33792035,2020,-1.7425246800000025,135.5653641,-85.22744375000002,-62.86815538453602
URY,2024,54.21914435,2020,3.881224000000003,136.1055622,-81.88641785000002,-60.16390258149201
URY,2025,51.47128923,2020,-2.747855120000004,136.1055622,-84.63427297000001,-62.18281722067638
WLD,1976,61.83287432,1970,,61.83287432,0.0,0.0
WLD,1977,62.12656097,1970,0.29368664999999794,62.12656097,0.0,0.0
WLD,1978,65.39267936,1970,3.2661183900000026,65.39267936,0.0,0.0
WLD,1979,64.11446166,1970,-1.278217699999999,64.11446166,0.0,0.0
WLD,1980,62.94883596,1980,-1.1656257000000068,62.94883596,0.0,0.0
WLD,1981,64.65567791,1980,1.7068419499999976,64.65567791,0.0,0.0
WLD,1982,67.39981766,1980,2.744139750000002,67.39981766,0.0,0.0
WLD,1983,70.78738012,1980,3.387562459999998,70.78738012,0.0,0.0
WLD,1984,73.1733284,1980,2.385948280000008,73.1733284,0.0,0.0
WLD,1985,74.66205194,1980,1.4887235399999952,74.66205194,0.0,0.0
WLD,1986,82.6959625,1980,8.033910559999995,82.6959625,0.0,0.0
WLD,1987,87.37848082,1980,4.68251832,87.37848082,0.0,0.0
WLD,1988,91.01066932,1980,3.6321885000000123,91.01066932,0.0,0.0
WLD,1989,92.20289031,1980,1.1922209899999956,92.20289031,0.0,0.0
WLD,1990,86.94825158,1990,-5.254638729999996,86.94825158,0.0,0.0
WLD,1991,88.3276964,1990,1.3794448199999891,88.3276964,0.0,0.0
WLD,1992,86.93232118,1990,-1.3953752199999911,86.93232118,0.0,0.0
WLD,1993,90.52539451,1990,3.5930733299999957,90.52539451,0.0,0.0
WLD,1994,90.31074809,1990,-0.214646419999994,90.31074809,0.0,0.0
WLD,1995,91.48657165,1990,1.1758235599999978,91.48657165,0.0,0.0
WLD,1996,88.696028,1990,-2.7905436500000036,88.696028,0.0,0.0
WLD,1997,89.15721512,1990,0.4611871200000053,89.15721512,0.0,0.0
WLD,1998,91.89188709,1990,2.7346719699999937,91.89188709,0.0,0.0
WLD,1999,98.57277603,1990,6.680888940000003,98.57277603,0.0,0.0
WLD,2000,98.65619483,2000,0.08341880000000401,98.65619483,0.0,0.0
WLD,2001,95.42573014,2000,-3.230464690000005,95.42573014,0.0,0.0
WLD,2002,96.23554479,2000,0.809814650000007,96.23554479,0.0,0.0
WLD,2003,97.0956432,2000,0.860098409999992,97.0956432,0.0,0.0
WLD,2004,95.91436236,2000,-1.1812808399999994,95.91436236,0.0,0.0
WLD,2005,95.29212519,2000,-0.6222371700000053,95.29212519,0.0,0.0
WLD,2006,96.10562116,2000,0.8134959700000053,96.10562116,0.0,0.0
WLD,2007,96.41543203,2000,0.30981087000000684,96.41543203,0.0,0.0
WLD,2008,100.0025134,2000,3.587081369999993,100.0025134,0.0,0.0
